3D 3점 원 계산기,,,,
,,,,
[입력] 점 좌표,X,Y,Z,
P1,1,0,0,
P2,0,1,0,
P3,0,0,1,
,,,,
[중간계산] 벡터,,,,
AB_x,=B5-B4,,,
AB_y,=C5-C4,,,
AB_z,=D5-D4,,,
AC_x,=B6-B4,,,
AC_y,=C6-C4,,,
AC_z,=D6-D4,,,
,,,,
[중간계산] 내적,,,,
|AB|2,=B9^2+B10^2+B11^2,,,
|AC|2,=B12^2+B13^2+B14^2,,,
AB_AC,=B9*B12+B10*B13+B11*B14,,,
det,=B17*B18-B19^2,,,
,,,,
[법선벡터] 외적,,,,
n_x,=B10*B14-B11*B13,,,
n_y,=B11*B12-B9*B14,,,
n_z,=B9*B13-B10*B12,,,
|n|,=SQRT(B23^2+B24^2+B25^2),,,
,,,,
[매개변수],,,,
s,=(B18*B17/2-B19*B18/2)/B20,,,
t,=(B17*B18/2-B19*B17/2)/B20,,,
,,,,
[결과] 원의 중심,,,,
중심_X,=B4+B29*B9+B30*B12,,,
중심_Y,=C4+B29*B10+B30*B13,,,
중심_Z,=D4+B29*B11+B30*B14,,,
,,,,
[결과] 원의 정보,,,,
반지름,=SQRT((B33-B4)^2+(B34-C4)^2+(B35-D4)^2),,,
지름,=B38*2,,,
원주,=2*PI()*B38,,,
면적,=PI()*B38^2,,,
,,,,
[검증] 거리,,,,
P1거리,=SQRT((B33-B4)^2+(B34-C4)^2+(B35-D4)^2),,,
P2거리,=SQRT((B33-B5)^2+(B34-C5)^2+(B35-D5)^2),,,
P3거리,=SQRT((B33-B6)^2+(B34-C6)^2+(B35-D6)^2),,,
