ID,제목,상태,우선순위,기존 목표일,완료예상(3주),다음 단계
PL-2025-074,"인셉션 에러(UI) 발생 시, 에러 내용 세분화 및 상세 표시",검증중,높음,2025-11-13,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-084,PLC 알람 체크,검증중,높음,2025-11-17,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-096,B라인 용접선 길이 내지 두께 차이 발생 시 용접 불가 반환,검증중,높음,2025-11-28,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-105,로봇/UI 통신 단절 시 UI 프리징 및 관제 상태 전송 문제,검증중,높음,2025-12-02,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-106,UI와 관제(디지털 트윈) 통신 주기 문제,검증중,높음,2025-12-02,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-143,용접 가능 범위 제한 기능 확인,검증중,높음,2025-12-18,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-067,"공압, 가스(CO2)압, 냉각수, 가스유량 알람처리(UI)",검증중,보통,2025-11-06,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-039,불스아이 스프레이 LOW 경고 처리,검증중,보통,2025-11-07,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-080,아크 에러 발생 시 운영SW에서 RAPID 제어,검증중,보통,2025-11-12,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-069,RAPID 자동 상태 확인 에러,검증중,보통,2025-11-14,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-148,갠트리 이동 가능 범위 변수화 및 DB 관리,검증중,보통,2025-12-22,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-150,와이어 교체 모드 와이어 피딩기능 보완,검증중,보통,2025-12-23,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-151,Z홈 모션의 '기본 모드'를 기본값으로 적용,검증중,보통,2025-12-23,1주차 (2026-01-25),고객 승인 → 배포 → 양산 모니터링(문제 여부 확인)
PL-2025-099,UI 조작 로깅 [104 이슈와 함께 관리],진행중,긴급,2025-12-02,1주차 (2026-01-25),기능 구현 → 현장 테스트
PL-2026-165,용접 포인트의 부재 두깨 반영 여부 선택 기능 추가,진행중,긴급,2026-01-21,1주차 (2026-01-25),기능 구현 → 현장 테스트
PL-2025-023,로봇 자동 운전 조건 진단 ( 용접 활성화 여부 확인 ),진행중,높음,2025-10-31,1주차 (2026-01-25),기능 구현 → 현장 테스트
PL-2025-089,돌림 용접 구간 개별 옵셋 적용,진행중,높음,2025-11-28,1주차 (2026-01-25),기능 구현 → 현장 테스트
PL-2025-092,A라인 수직용접 터치 센싱 옵셋 값 적용,진행중,높음,2025-12-05,1주차 (2026-01-25),기능 구현 → 현장 테스트
PL-2025-154,명령 취소 및 가동 준비 시 rInit 동작,진행중,높음,2025-12-23,1주차 (2026-01-25),기능 구현 → 현장 테스트
PL-2025-055,B라인 드라이런 속도 배율 미적용,진행중,보통,2025-10-07,2주차 (2026-02-01),기능 구현 → 현장 테스트
PL-2025-060,시뮬레이션 vs 실제 상이한 알람 관련,진행중,보통,2025-11-14,2주차 (2026-02-01),기능 구현 → 현장 테스트
PL-2025-065,"실시간 용접 조건 변경 (전압, 피딩)",진행중,보통,2025-11-15,2주차 (2026-02-01),기능 구현 → 현장 테스트
PL-2025-091,수동 용접시 기능 추가,진행중,보통,2025-11-28,2주차 (2026-02-01),기능 구현 → 현장 테스트
PL-2025-104,작업자 사용 이력 로그 기능 추가,진행중,보통,2025-12-02,2주차 (2026-02-01),기능 구현 → 현장 테스트
PL-2025-126,작업 취소 및 작업 재개 시 속도 0% 설정됨,진행중,보통,2025-12-10,2주차 (2026-02-01),기능 구현 → 현장 테스트
PL-2025-156,경광등 - UI - 관제 에러/정상 상태 표시 동기화,진행중,보통,2025-12-25,2주차 (2026-02-01),기능 구현 → 현장 테스트
PL-2025-157,터치 오프셋의 일괄 변경 기능 추가,진행중,보통,2025-12-26,2주차 (2026-02-01),기능 구현 → 현장 테스트
PL-2025-021,[A] 사용자 편의성 UI 개선,진행중,낮음,2025-10-31,2주차 (2026-02-01),기능 구현 → 현장 테스트
PL-2025-088,작업자 / 관리자 권한 설정,신규,보통,2025-11-28,3주차 (2026-02-08),요구 정리 → 구현 착수
PL-2025-093,운영 S/W 최종 메뉴얼 제출,신규,낮음,2025-12-31,3주차 (2026-02-08),요구 정리 → 구현 착수
